Country,GDP Per Capita (USD),Population,Males Per 100 Females,% Under 18,% 18 And Over,Incarcerated Per 100k,Firepower Index,Corporation Tax (%)
Thailand,6909.35,71735329,95.3,21.07,78.93,391,0.4458,20.0
Timor-Leste,2343.25,1369295,101.61,39.62,60.38,N/A,N/A,10.0
Togo,951.23,9089738,101.21,44.75,55.25,59,N/A,27.0
Tonga,5298.02,105042,91.36,40.27,59.73,516,N/A,25.0
Trinidad and Tobago,20750.52,1365805,97.83,23.93,76.07,276,N/A,30.0
Tunisia,3707.29,12119334,97.95,30.05,69.95,196,1.7823,30.0
Turkiye,10897.84,84979913,99.83,27.64,72.36,N/A,0.1975,N/A
Turkmenistan,5837.84,7230193,96.04,36.83,63.17,576,1.7459,8.0
Turks and Caicos Islands,31280.54,45847,100.35,22.21,77.79,N/A,N/A,0.0
Tuvalu,5911.33,9992,104.67,36.96,63.04,110,N/A,30.0
Uganda,963.07,47312719,98.27,48.59,51.41,152,2.3252,30.0
Ukraine,4199.67,41048766,87.17,20.21,79.79,130,0.3691,18.0
United Arab Emirates,50759.76,10074977,178.58,23.03,76.97,104,1.0188,0.0
United Kingdom,47057.04,67604000,96.93,22.7,77.3,240,0.1881,19.0
United States,76657.25,334017321,101.07,23.1,76.9,541,0.0741,21.0
Uruguay,20818.61,3390913,94.15,24.29,75.71,449,2.1537,25.0
Uzbekistan,2578.67,34938955,101.72,35.68,64.32,85,0.9908,12.0
Vanuatu,3370.21,313046,102.08,43.4,56.6,65,N/A,0.0
"Venezuela, RB",3155.04,28213017,97.83,31.93,68.07,199,0.9106,34.0
Viet Nam,4147.7,99680655,95.99,29.36,70.64,N/A,N/A,N/A
Virgin Islands (U.S.),44320.91,105413,92.3,21.44,78.56,N/A,N/A,N/A
West Bank and Gaza,3799.96,5043612,98.89,43.3,56.7,N/A,N/A,N/A
Zambia,1447.12,20152938,97.98,46.9,53.1,125,2.4461,30.0
Zimbabwe,2536.4,16069056,90.7,45.99,54.01,153,2.2801,25.0
